SYMBOL,HIGH,LOW,DAILY RANGE
20MICRONS,36.3,35,1.2999992
21STCENMGM,14.8,14.4,0.40000057
3IINFOTECH,2.4,2.25,0.1500001
3MINDIA,22587.95,22055.15,532.7988
3PLAND,7.1,6.5,0.5999999
5PAISA,197,176,21.0
63MOONS,110,106.3,3.699997
762GS2039,92,92,0.0
A2ZINFRA,7.2,7.1,0.099999905
AAKASH,67.5,67,0.5
AARON,49.45,49.45,0.0
AARTIDRUGS,641.8,608,33.799988
AARTIIND,999,908.3,90.70001
AARVEEDEN,14.45,13.65,0.8000002
AAVAS,1995,1949.15,45.849976
ABAN,26.5,25.55,0.95000076
ABB,1355.15,1331,24.150024
ABBOTINDIA,12729,12620.15,108.84961
ABCAPITAL,104.6,101.25,3.3499985
ABFRL,232,227.1,4.899994
ABSLBANETF,308,308,0.0
ACC,1574,1545.2,28.800049
ACCELYA,1118,1067.1,50.900024
ACE,89.3,86.6,2.7000046
ADANIENT,238.35,231,7.350006
ADANIGAS,174.45,168.5,5.949997
ADANIGREEN,191,185.05,5.949997
ADANIPORTS,387.75,373.75,14.0
ADANIPOWER,65.1,63.85,1.25
ADANITRANS,329.05,321,8.049988
ADFFOODS,302,295,7.0
ADHUNIKIND,40.5,38.7,1.7999992
ADLABS,4.1,3.85,0.25
ADORWELD,334,324,10.0
ADROITINFO,6.5,6,0.5
ADSL,23.2,23.05,0.15000153
ADVANIHOTR,57.7,53.65,4.049999
ADVENZYMES,175.3,172.1,3.199997
AEGISCHEM,211.2,207.5,3.699997
AFFLE,1735,1615.95,119.05005
AGARIND,87.75,83.75,4.0
AGCNET,221.65,221.65,0.0
AGRITECH,46.5,45,1.5
AGROPHOS,26.15,26.15,0.0
AHLEAST,184.95,179.5,5.449997
AHLUCONT,318,307.4,10.600006
AHLWEST,364.9,345,19.899994
AIAENG,1835.95,1728.9,107.04993
AIONJSW,15.1,14.5,0.6000004
AIRAN,14.45,13.25,1.1999998
AJANTPHARM,1174.4,1137.65,36.75
AJMERA,150.05,146.3,3.75
AKASH,89.5,83,6.5
AKSHARCHEM,254.5,249,5.5
AKSHOPTFBR,8.35,7.8,0.5500002
AKZOINDIA,2131.1,2002,129.1001
ALANKIT,14.5,14.05,0.4499998
ALBERTDAVD,534.7,513.5,21.200012
ALBK,18.55,18.2,0.34999847
ALCHEM,1.75,1.65,0.100000024
ALEMBICLTD,64.25,57.9,6.3499985
ALICON,424.8,400.5,24.299988
ALKALI,54.3,45,9.299999
ALKEM,2349,2252.15,96.8501
ALKYLAMINE,1349.9,1317,32.900024
ALLCARGO,119.7,116.1,3.5999985
ALLSEC,287.4,281.1,6.299988
ALMONDZ,16.5,15.75,0.75
ALOKTEXT,3.35,3.1,0.25
ALPA,21.55,20.25,1.2999992
ALPHAGEO,213.85,200,13.850006
ALPSINDUS,1.25,1.2,0.049999952
AMARAJABAT,804,792,12.0
AMBER,1585,1478,107.0
AMBIKCO,847.45,831,16.450012
AMBUJACEM,218.25,213.25,5.0
AMDIND,18.55,15.75,2.7999992
AMJLAND,22.2,20.8,1.4000015
AMRUTANJAN,465,446.35,18.649994
ANANTRAJ,35.85,35.05,0.79999924
ANDHRABANK,16.9,16.75,0.14999962
ANDHRACEMT,2.45,2.3,0.1500001
ANDHRSUGAR,344,326.95,17.049988
ANDPAPER,312,301,11.0
ANIKINDS,11,10,1.0
ANKITMETAL,0.5,0.4,0.099999994
ANSALAPI,5.3,5.1,0.20000029
ANSALHSG,5.8,5.4,0.4000001
ANTGRAPHIC,0.65,0.6,0.049999952
ANUP,630,581.9,48.099976
APARINDS,403,396.55,6.450012
APCL,167.8,160,7.800003
APCOTEXIND,165.9,160.5,5.399994
APEX,372,360.3,11.700012
APLAPOLLO,2078,2045.5,32.5
APLLTD,644,630.05,13.950012
APOLLO,79.4,75.75,3.6500015
APOLLOHOSP,1694.95,1671.05,23.899902
APOLLOPIPE,418,400,18.0
APOLLOTYRE,175.8,173.5,2.300003
APOLSINHOT,765,754,11.0
APTECHT,183.3,148,35.300003
ARCHIDPLY,32.4,30.55,1.8500023
ARCHIES,17.75,17.3,0.45000076
ARCOTECH,2.15,1.95,0.20000005
ARIES,75.8,74,1.800003
ARIHANT,23.85,23,0.8500004
ARIHANTSUP,31.65,29.45,2.1999989
ARMANFIN,750,731.55,18.450012
AROGRANITE,38.2,36.2,2.0
ARROWGREEN,51.75,50.5,1.25
ARROWTEX,9.7,9.5,0.19999981
ARSHIYA,17.8,16.65,1.1499996
ARSSINFRA,21.3,20.25,1.0499992
ARTEMISMED,261.25,261.25,0.0
ARVIND,43.1,42.3,0.79999924
ARVINDFASN,400,392,8.0
